Month,Month_Label,FY,Quarter,Month_No,Sort_Order
2024-04-30,Apr-24,FY24-25,Q1,1,1
2024-05-31,May-24,FY24-25,Q1,2,2
2024-06-30,Jun-24,FY24-25,Q1,3,3
2024-07-31,Jul-24,FY24-25,Q2,4,4
2024-08-31,Aug-24,FY24-25,Q2,5,5
2024-09-30,Sep-24,FY24-25,Q2,6,6
2024-10-31,Oct-24,FY24-25,Q3,7,7
2024-11-30,Nov-24,FY24-25,Q3,8,8
2024-12-31,Dec-24,FY24-25,Q3,9,9
2025-01-31,Jan-25,FY24-25,Q4,10,10
2025-02-28,Feb-25,FY24-25,Q4,11,11
2025-03-31,Mar-25,FY24-25,Q4,12,12
2025-04-30,Apr-25,FY25-26,Q1,1,13
2025-05-31,May-25,FY25-26,Q1,2,14
2025-06-30,Jun-25,FY25-26,Q1,3,15
2025-07-31,Jul-25,FY25-26,Q2,4,16
2025-08-31,Aug-25,FY25-26,Q2,5,17
2025-09-30,Sep-25,FY25-26,Q2,6,18
2025-10-31,Oct-25,FY25-26,Q3,7,19
2025-11-30,Nov-25,FY25-26,Q3,8,20
2025-12-31,Dec-25,FY25-26,Q3,9,21
2026-01-31,Jan-26,FY25-26,Q4,10,22
2026-02-28,Feb-26,FY25-26,Q4,11,23
2026-03-31,Mar-26,FY25-26,Q4,12,24
2026-04-30,Apr-26,FY26-27,Q1,1,25
2026-05-31,May-26,FY26-27,Q1,2,26
2026-06-30,Jun-26,FY26-27,Q1,3,27
2026-07-31,Jul-26,FY26-27,Q2,4,28
2026-08-31,Aug-26,FY26-27,Q2,5,29
2026-09-30,Sep-26,FY26-27,Q2,6,30
2026-10-31,Oct-26,FY26-27,Q3,7,31
2026-11-30,Nov-26,FY26-27,Q3,8,32
2026-12-31,Dec-26,FY26-27,Q3,9,33
2027-01-31,Jan-27,FY26-27,Q4,10,34
2027-02-28,Feb-27,FY26-27,Q4,11,35
2027-03-31,Mar-27,FY26-27,Q4,12,36
2027-04-30,Apr-27,FY27-28,Q1,1,37
2027-05-31,May-27,FY27-28,Q1,2,38
2027-06-30,Jun-27,FY27-28,Q1,3,39
2027-07-31,Jul-27,FY27-28,Q2,4,40
2027-08-31,Aug-27,FY27-28,Q2,5,41
2027-09-30,Sep-27,FY27-28,Q2,6,42
2027-10-31,Oct-27,FY27-28,Q3,7,43
2027-11-30,Nov-27,FY27-28,Q3,8,44
2027-12-31,Dec-27,FY27-28,Q3,9,45
2028-01-31,Jan-28,FY27-28,Q4,10,46
2028-02-29,Feb-28,FY27-28,Q4,11,47
2028-03-31,Mar-28,FY27-28,Q4,12,48
